SampleID	Nutrient	Condition	Timepoint	Rootlength
P_MgCl_t0	P	MgCl	t0	1.542
P_MgCl_t0	P	MgCl	t0	1.849
P_MgCl_t0	P	MgCl	t0	1.209
P_MgCl_t0	P	MgCl	t0	1.834
P_MgCl_t0	P	MgCl	t0	1.586
P_MgCl_t0	P	MgCl	t0	1.683
P_MgCl_t0	P	MgCl	t0	1.608
P_MgCl_t0	P	MgCl	t0	1.8
P_MgCl_t0	P	MgCl	t0	1.63
P_MgCl_t0	P	MgCl	t0	1.125
P_MgCl_t0	P	MgCl	t0	1.865
P_MgCl_t0	P	MgCl	t0	1.633
P_MgCl_t0	P	MgCl	t0	1.624
P_MgCl_t0	P	MgCl	t0	1.491
P_MgCl_t0	P	MgCl	t0	1.315
P_MgCl_t0	P	MgCl	t0	1.872
P_MgCl_t0	P	MgCl	t0	1.319
P_MgCl_t0	P	MgCl	t0	2.496
P_MgCl_t0	P	MgCl	t0	1.328
P_MgCl_t0	P	MgCl	t0	1.459
P_MgCl_t0	P	MgCl	t0	1.184
P_MgCl_t0	P	MgCl	t0	1.758
P_MgCl_t0	P	MgCl	t0	1.951
P_MgCl_t0	P	MgCl	t0	1.765
P_MgCl_t0	P	MgCl	t0	1.569
P_MgCl_t0	P	MgCl	t0	1.679
P_MgCl_t0	P	MgCl	t0	1.745
P_MgCl_t0	P	MgCl	t0	1.256
P_MgCl_t0	P	MgCl	t0	
P_MgCl_t0	P	MgCl	t0	
noP_MgCl_t0	noP	MgCl	t0	1.448
noP_MgCl_t0	noP	MgCl	t0	1.399
noP_MgCl_t0	noP	MgCl	t0	1.67
noP_MgCl_t0	noP	MgCl	t0	1.42
noP_MgCl_t0	noP	MgCl	t0	1.12
noP_MgCl_t0	noP	MgCl	t0	1.312
noP_MgCl_t0	noP	MgCl	t0	1.586
noP_MgCl_t0	noP	MgCl	t0	1.485
noP_MgCl_t0	noP	MgCl	t0	1.367
noP_MgCl_t0	noP	MgCl	t0	1.627
noP_MgCl_t0	noP	MgCl	t0	1.573
noP_MgCl_t0	noP	MgCl	t0	1.555
noP_MgCl_t0	noP	MgCl	t0	1.535
