SampleID	Nutrient	Condition	Timepoint	Rootlength
1	P_MgCl_t0	P	MgCl	t0	1.542
2	P_MgCl_t0	P	MgCl	t0	1.849
3	P_MgCl_t0	P	MgCl	t0	1.209
4	P_MgCl_t0	P	MgCl	t0	1.834
5	P_MgCl_t0	P	MgCl	t0	1.586
6	P_MgCl_t0	P	MgCl	t0	1.683
7	P_MgCl_t0	P	MgCl	t0	1.608
8	P_MgCl_t0	P	MgCl	t0	1.8
9	P_MgCl_t0	P	MgCl	t0	1.63
10	P_MgCl_t0	P	MgCl	t0	1.125
11	P_MgCl_t0	P	MgCl	t0	1.865
12	P_MgCl_t0	P	MgCl	t0	1.633
13	P_MgCl_t0	P	MgCl	t0	1.624
14	P_MgCl_t0	P	MgCl	t0	1.491
15	P_MgCl_t0	P	MgCl	t0	1.315
16	P_MgCl_t0	P	MgCl	t0	1.872
17	P_MgCl_t0	P	MgCl	t0	1.319
18	P_MgCl_t0	P	MgCl	t0	2.496
19	P_MgCl_t0	P	MgCl	t0	1.328
20	P_MgCl_t0	P	MgCl	t0	1.459
21	P_MgCl_t0	P	MgCl	t0	1.184
22	P_MgCl_t0	P	MgCl	t0	1.758
23	P_MgCl_t0	P	MgCl	t0	1.951
24	P_MgCl_t0	P	MgCl	t0	1.765
25	P_MgCl_t0	P	MgCl	t0	1.569
26	P_MgCl_t0	P	MgCl	t0	1.679
27	P_MgCl_t0	P	MgCl	t0	1.745
28	P_MgCl_t0	P	MgCl	t0	1.256
29	P_MgCl_t0	P	MgCl	t0	NA
30	P_MgCl_t0	P	MgCl	t0	NA
31	noP_MgCl_t0	noP	MgCl	t0	1.448
32	noP_MgCl_t0	noP	MgCl	t0	1.399
33	noP_MgCl_t0	noP	MgCl	t0	1.67
34	noP_MgCl_t0	noP	MgCl	t0	1.42
35	noP_MgCl_t0	noP	MgCl	t0	1.12
36	noP_MgCl_t0	noP	MgCl	t0	1.312
37	noP_MgCl_t0	noP	MgCl	t0	1.586
38	noP_MgCl_t0	noP	MgCl	t0	1.485
39	noP_MgCl_t0	noP	MgCl	t0	1.367
40	noP_MgCl_t0	noP	MgCl	t0	1.627
41	noP_MgCl_t0	noP	MgCl	t0	1.573
42	noP_MgCl_t0	noP	MgCl	t0	1.555
43	noP_MgCl_t0	noP	MgCl	t0	1.535
