IDs	KO	pathway_A	order	Gene	Comment/Uniprot comment
ID1		Nitrogen			
ID2	K02567	Nitrogen	N1	napA; periplasmic nitrate reductase NapA [EC:1.7.99.4]	Dissimilatory
ID3	TIGR01706	Nitrogen	N1	"napA,  periplasmic nitrate reductase"	Dissimilatory
ID4	K02573	no_pathway		napG; ferredoxin-type protein NapG	
ID5	K02574	no_pathway			
ID6	K00367	Nitrogen	N1	narB; ferredoxin-nitrate reductase [EC:1.7.7.2]	Assimilatory
ID7	K00370	Nitrogen	N1	"narG, narZ, nxrA; nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.4]"	Dissimilatory
ID8	TIGR01580	Nitrogen	N1	"narG,  periplasmic nitrate reductase"	Dissimilatory
ID9	K00371	Nitrogen	N1	"narH, narY, nxrB; nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.4]"	Dissimilatory
ID10	TIGR01660	Nitrogen	N1	"narH,  periplasmic nitrate reductase"	Dissimilatory
ID11	K00374	Nitrogen	N1	"narI, narV; nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.4]"	Dissimilatory
ID12					
ID13	K00366	Nitrogen	N2	nirA; ferredoxin-nitrite reductase [EC:1.7.7.1]	Assimilatory
ID14	K00362	Nitrogen	N2	nirB; nitrite reductase (NADH) large subunit [EC:1.7.1.15]	Dissimilatory
ID15	TIGR02374	Nitrogen	N2	"NirB, nitrite reductase [NAD(P)H]"	Dissimilatory
ID16	K00363	Nitrogen	N2	nirD; nitrite reductase (NADH) small subunit [EC:1.7.1.15]	Dissimilatory
ID17	TIGR02378	Nitrogen	N2	"NirD, nitrite reductase [NAD(P)H]"	Dissimilatory
ID18	K03385	Nitrogen	N2	nrfA; nitrite reductase (cytochrome c-552) [EC:1.7.2.2]	"Dissimilatory, ammonium producing"
ID19	K15876	Nitrogen	N2	nrfH; cytochrome c nitrite reductase small subunit	
ID20					
ID21	K00368	Nitrogen	N3	nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]	
ID22	TIGR02376	Nitrogen	N3	"nirK,  nitrite reductase, copper-containing"	
ID23	K15864	Nitrogen	N3	nirS; nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]	
ID24				NO-forming nitrite reductase	
ID25	K04561	Nitrogen	N4	norB; nitric oxide reductase subunit B [EC:1.7.2.5]	
ID26	K02305	Nitrogen	N4	norC; nitric oxide reductase subunit C	
ID27	K02448	no_pathway		norD; nitric oxide reductase NorD protein	
ID28	K02164	no_pathway		norE; nitric oxide reductase NorE protein	
ID29	K04747	no_pathway		norF; nitric oxide reductase NorF protein	
ID30	K18907	no_pathway		"norG; GntR family transcriptional regulator, regulator for abcA and norABC"	
ID31	K04748	no_pathway		norQ; nitric oxide reductase NorQ protein	
ID32	K12266	no_pathway		norR; anaerobic nitric oxide reductase transcription regulator	
ID33	K12264	no_pathway		norV; anaerobic nitric oxide reductase flavorubredoxin	
ID34	K12265	no_pathway		norW; nitric oxide reductase FlRd-NAD(+) reductase [EC:1.18.1.-]	
ID35				nitric oxide reductase	
ID36	K00376	Nitrogen	N5	nosZ; nitrous-oxide reductase [EC:1.7.2.4]	
ID37	TIGR04246	Nitrogen	N5	"nosZ,  nitrous-oxide reductase, Sec-dependent"	
ID38	K07218	no_pathway		nosD; nitrous oxidase accessory protein	
ID39	K19339	no_pathway		"nosR; NosR/NirI family transcriptional regulator, nitrous oxide reductase regulator"	
ID40				nitrous-oxide reductase	
ID41	K02586	Nitrogen	N6	nifD; nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	
ID42	K02588	Nitrogen	N6	nifH; nitrogenase iron protein NifH [EC:1.18.6.1]	
ID43	TIGR01287	Nitrogen	N6	"nifH,  nitrogenase iron protein"	
ID44	K02591	Nitrogen	N6	nifK; nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]	
ID45	K02585	no_pathway		nifB; nitrogen fixation protein NifB	
ID46	K02587	no_pathway		nifE; nitrogenase molybdenum-cofactor synthesis protein NifE	
ID47	K02589	no_pathway		"nifHD1, nifI1; nitrogen regulatory protein PII 1"	
ID48	K02590	no_pathway		"nifHD2, nifI2; nitrogen regulatory protein PII 2"	
ID49	K23916	no_pathway		nifL; nitrogen fixation regulatory protein	
ID50	K02592	no_pathway		nifN; nitrogenase molybdenum-iron protein NifN	
ID51	K15790	no_pathway		nifQ; nitrogen fixation protein NifQ	
ID52	K02593	no_pathway		nifT; nitrogen fixation protein NifT	
ID53	K02595	no_pathway		nifW; nitrogenase-stabilizing/protective protein	
ID54	K02596	no_pathway		nifX; nitrogen fixation protein NifX	
ID55	K02597	no_pathway		nifZ; nitrogen fixation protein NifZ	
ID56	TIGR01861	Nitrogen	N6	"Fe only alpha,  nitrogenase iron-iron protein"	
ID57	TIGR02931	Nitrogen	N6	"Fe only beta,  nitrogenase iron-iron protein"	
ID58	TIGR02929	Nitrogen	N6	"Fe only delta,  nitrogenase iron-iron protein"	
ID59	TIGR01282	Nitrogen	N6	"Mo-Fe type Alpha, nitrogenase molybdenum-iron"	
ID60	TIGR01286	Nitrogen	N6	"Mo-Fe type beta, nitrogenase molybdenum-iron"	
ID61	TIGR01860	Nitrogen	N6	"Vanadium-type alpha,  nitrogenase vanadium-iron"	
ID62	TIGR02932	Nitrogen	N6	"Vanadium-type beta,  nitrogenase vanadium-iron"	
ID63	TIGR02930	Nitrogen	N6	"Vanadium-type delta,  nitrogenase vanadium-iron"	
ID64				Nitrogenase	
ID65	K20932	Nitrogen	N7	"hzsA,  Hydrazine synthase"	
ID66	K20933	Nitrogen	N7	"hzsA,  Hydrazine synthase"	
ID67	K20934	Nitrogen	N7	hydrazine synthase subunit [EC:1.7.2.7]	
ID68	hzsA	Nitrogen	N7	"hzsA,  Hydrazine synthase"	
ID69				Hydrazine synthase	
ID70	K20935	Nitrogen	N8	hydrazine dehydrogenase	
ID71				hydraxine dehydrogenase	
ID72	K10535	Nitrogen	N9	hao; hydroxylamine dehydrogenase [EC:1.7.2.6]	
ID73				hydroxylamine dehydrogenase/reductase	
ID74	K05601	Nitrogen	N10	hcp; hydroxylamine reductase [EC:1.7.99.1]	
ID75				hydroxylamine reductase	
ID76	K10944	Nitrogen	N10	pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]	
ID77	K10945	Nitrogen	N10	pmoB-amoB; methane/ammonia monooxygenase subunit B	
ID78	K10946	Nitrogen	N10	pmoC-amoC; methane/ammonia monooxygenase subunit C	
ID79	TIGR03080	Nitrogen	N10	"pmoA,  methane monooxygenase/ammonia monooxygenase"	
ID80	TIGR03079	Nitrogen	N10	"pmoB,  methane monooxygenase/ammonia monooxygenase"	
ID81	TIGR03078	Nitrogen	N10	"pmoC,  methane monooxygenase/ammonia monooxygenase"	
ID82				ammonia monooxygenase	
ID83	K01430	Nitrogen		ureA; urease subunit gamma [EC:3.5.1.5]	
ID84	K01429	Nitrogen		ureB; urease subunit beta [EC:3.5.1.5]	
ID85	K01428	Nitrogen		ureC; urease subunit alpha [EC:3.5.1.5]	
ID86	K03190	Nitrogen		"ureD, ureH; urease accessory protein"	
ID87	K03187	Nitrogen		ureE; urease accessory protein	
ID88	K03188	Nitrogen		ureF; urease accessory protein	
ID89	K03189	Nitrogen		ureG; urease accessory protein	
ID90	K03192	Nitrogen		ureJ; urease accessory protein	
ID91				ammonia monooxygenase	
ID92	K01915	Nitrogen	N11	"glnA, GLUL; glutamine synthetase [EC:6.3.1.2]"	
ID93				Glutamine synthetase	
ID94	K00260	Nitrogen	N12	"gudB, rocG; glutamate dehydrogenase [EC:1.4.1.2]"	
ID95	K15371	Nitrogen	N12	GDH2; glutamate dehydrogenase [EC:1.4.1.2]	
ID96	K00261	Nitrogen	N12	"GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]"	
ID97	K00262	Nitrogen	N12	"E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]"	
ID98				glutamate dehydrogenase	
ID99	K01948	Nitrogen	N13	CPS1; carbamoyl-phosphate synthase (ammonia) [EC:6.3.4.16]	
ID100				carbamoyl-p-synthase	
ID101	K00926	Nitrogen	N14	arcC; carbamate kinase [EC:2.7.2.2]	
ID102				carbamate kinase	
ID103	K01672	Nitrogen	N15	carbonic anhydrase	
ID104	K01673	Nitrogen	N15	"cynT, can; carbonic anhydrase [EC:4.2.1.1]"	
ID105	K01674	Nitrogen	N15	cah; carbonic anhydrase [EC:4.2.1.1]	
ID106	K01726	no_pathway		GAMMACA; gamma-carbonic anhydrase [EC:4.2.1.-]	reversible hydration of carbon dioxide to bicarbonate (CO2 + H2O _ HCO3_+ H+)
ID107				carbonic anhydrase	
