Pathway_1	pathway_2	arcog	xx	Pathway	Gene_short	Gene_name	Comment	Gene	Order	Order2	Other
Replication	DNA_Polymerase	arCOG15272		L	PolB	DNA polymerase PolB1; K02319	"DNA polymerase 1, pol1, dpo1"	Pol-B1	Repl_1	1	
Replication	DNA_Polymerase	arCOG00329		L	PolB	"DNA polymerase PolB2, inactivated"	"DNA polymerase 2, dpo2/polb2"	Pol-B2	Repl_1	2	
Replication	DNA_Polymerase	arCOG00328		L	PolB	DNA polymerase PolB1; K02319	"DNA polymerase 1, pol1, dpo1"	Pol-B3	Repl_1	3	
Replication	DNA_Polymerase	arCOG04926		L	PolB	DNA polymerase elongation subunit (family B)	"DNA-directed DNA polymerase B, polB-2; associated with Casposon"	PolB-casposon-associated	Repl_1	4	
Replication	DNA_Polymerase	arCOG04447		L	PolC	"Archaeal DNA polymerase II, large subunit"	Possesses two activities: a DNA synthesis (polymerase) and an exonucleolytic activity	PolD_small	Repl_1	5	
Replication	DNA_Polymerase	arCOG04455		L	PolB	"Archaeal DNA polymerase II, small subunit"	Possesses two activities: a DNA synthesis (polymerase) and an exonucleolytic activity	PolD_large	Repl_1	6	
Replication	DNA_Polymerase	arCOG04582		L	Dpo4/DinP	DNA polymerase IV	"Poorly processive, error-prone DNA polymerase involved in untargeted mutagenesis. Copies undamaged DNA at stalled replication forks, which arise in vivo from mismatched or misaligned primer ends. These misaligned primers can be extended by PolIV. Exhibits no 3'-5' exonuclease (proofreading) activity. It is involved in translesional synthesis."	Pol4	Repl_1	7	
Replication	DNA_Polymerase	arCOG00305		L	POL4	DNA polymerase IV (family X)	"X family polymerases fill in short gaps during DNA repair, and are small (about 40kDa) compared with other polymerases"	PolX	Repl_1	8	
Replication	RFs	arCOG00467		L	Orc1	ORC1-type DNA replication protein 1	origin recognition and cell cycle control of replication	Orc1	Repl_2	9	
Replication	RFs	arCOG01510		L	RPA1/RPA42	"Single-stranded DNA-binding replication protein A (RPA), large (70 kD) subunit or related ssDNA-binding protein"	"ssb, Single-stranded DNA binding protein Ssb + replication factor a (rpa)"	SSB/RPA1	Repl_2	10	
Replication	RFs	arCOG05741		L	RPA2/RPA14	"ssDNA binding protein RPA14, OB-fold"	"ssb, Single-stranded DNA binding protein Ssb + replication factor a (rpa)"	RPA2	Repl_2	11	
Replication	RFs	arCOG02258		L	RPA3/RPA32	"RPA family protein, a subunit of RPA complex in P.furiosus"	"ssb, Single-stranded DNA binding protein Ssb + replication factor a (rpa)"	RPA3	Repl_2	12	
Replication	RFs	K09723		L	GinS	DNA replication factor GINS	interacts with MCM and primase	GinS	Repl_2	13	
Replication	RFs	arCOG04110		L	PriS	"Eukaryotic-type DNA primase, catalytic (small) subunit"	RNA polymerase that catalyzes the synthesis of short RNA molecules	PriS	Repl_2	14	
Replication	RFs	arCOG03013		L	PriL	"Eukaryotic-type DNA primase, large subunit"	RNA polymerase that catalyzes the synthesis of short RNA molecules	PriL	Repl_2	15	
Replication	RFs	arCOG04281		L	DnaG	DNA primase (bacterial type)	RNA polymerase that catalyzes the synthesis of short RNA molecules	DnaG	Repl_2	16	
Replication	RFs	arCOG01347		L	Lig 	ATP-dependent DNA ligase	seals nicks in double-stranded DNA during DNA replication	Lig 	Repl_2	17	
