arcog	Pathway	GeneID	Gene	COG	PFAM	CD	TIGR	NIOZ132_cc_b51_2	NIOZ134_mx_b281_2	SRR2090153_bin1042	SRR2090153_bin461	SRR2090159_bin1129	SRR2090159_bin1288	GCA_002494525	GCA_002495465	GCA_002501985	SRR4028224_bin17	SRR5007147_bin71	U_76725	NIOZ124_cc_b247_2	NIOZ125_mb_b254_2	NIOZ129_mb_b262_2	NIOZ126_mb_b401_2	NIOZ122_mb_b319_2	NIOZ134_mb_b41_2	NIOZ132_mb_b282_2	NIOZ127_mb_b161_2	NIOZ123_bs_b5_2	NIOZ121_cc_b94_2	NIOZ136_cc_b15_2	GCA_002502135	NIOZ134_mb_b293_2	NIOZ132_mb_b260_2	NIOZ126_mb_b137_2	NIOZ129_mb_b254_2	NIOZ127_mb_b282_2	NIOZ122_mb_b305_2	NIOZ136_mb_b335_2	NIOZ132_mb_b198_2	NIOZ136_mb_b104_2	NIOZ125_mb_b178_2	NIOZ121_mb_b48_2	NIOZ134_cc_b149_2	NIOZ134_mb_b361_2	NIOZ136_mb_b226_2	NIOZ123_bs_b392_2	NIOZ124_mb_b130_2	NIOZ132_cc_b149_2	NIOZ125_cc_b75_2	NIOZ132_mx_b314_2	NIOZ120_mb_b229_2	NIOZ126_mb_b304_2	NIOZ119_mb_b5_2
1	arCOG00009	E	PotE	Amino acid transporter	COG00531	pfam00324		TIGR00909	2	4	1	1	1	1	2	1	2	1	1	1	3	3	2	1	3	3	3	3	2	1	0	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	0	1	1	0
2	arCOG00014	G	RbsK	"Sugar kinase, ribokinase family"	COG00524	pfam00294	cd01174	TIGR02152	1	2	1	2	1	2	2	2	2	2	2	2	2	3	2	2	2	3	2	2	2	2	2	3	1	2	2	3	2	4	2	2	2	2	3	2	2	3	2	4	1	2	2	2	2	1
3	arCOG00017	R	-	Predicted transcriptional regulator	COG02522				1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
4	arCOG00018	F	Nnr2	"NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate dehydratase domain"	COG00063	"pfam03853,pfam01256"	cd01171	"TIGR00197,TIGR00196"	1	1	1	0	1	0	1	1	1	2	2	0	1	1	1	1	1	1	0	2	1	2	1	2	1	1	1	1	1	1	1	1	0	1	1	2	0	2	1	1	1	0	0	1	0	0
5	arCOG00029	F	PyrE	Orotate phosphoribosyltransferase	COG00461	pfam00156	cd06223	TIGR00336	1	0	1	0	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
6	arCOG00030	F	Apt	Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein	COG00503	pfam00156	cd06223	TIGR01090	0	1	2	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	2	1	2	1	2	2	2	2	1	2	0	2	2	1	0	1	1	0	1
7	arCOG00031	F	Apt	Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein	COG00503	pfam00156	cd06223	TIGR01744	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	arCOG00033	J	Trm5	"Wybutosine (yW) biosynthesis enzyme Trm5, tRNA (guanine) methyltransferase"	COG02520	pfam02475			0	1	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1	1	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	1	0	1	0	2	0	0	0	0	1	0	1	0
9	arCOG00034	H	PDX2	Predicted glutamine amidotransferase involved in pyridoxine biosynthesis	COG00311	pfam01174	cd01749	TIGR03800	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0
10	arCOG00035	J	Dph6	Diphthamide synthase (EF-2-diphthine--ammonia ligase)	COG02102	pfam01902	cd01994	TIGR03679	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	2	0	0	1	0	1
